open_time,开盘价,最高价,最低价,收盘价,成交量,MA20,MA50,BB_Upper,BB_Lower,BB_Long_Upper,BB_Long_Lower,MACD_Hist,RSI,ATR,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position
2025-07-20 12:15:00,117883.4,118025.8,117788.2,117810.1,1165.307,,,,,,,,,,,,,,,
2025-07-20 12:30:00,117810.0,117892.3,117769.3,117840.8,927.034,,,,,,,,,,,,,,,
2025-07-20 12:45:00,117840.8,118157.8,117800.0,118055.4,972.733,,,,,,,,,,,,,,,
2025-07-20 13:00:00,118055.5,118180.8,118055.4,118098.4,785.187,,,,,,,,,,,,,,,
2025-07-20 13:15:00,118098.4,118140.0,118053.2,118093.2,502.702,117979.58,,,,,,,,,,,,,,
2025-07-20 13:30:00,118093.2,118133.0,118055.1,118098.9,461.484,118037.34,,,,,,,,,,,,,,
2025-07-20 13:45:00,118098.8,118383.0,118085.6,118378.7,972.139,118144.92,,,,,,,,,,,,,,
2025-07-20 14:00:00,118378.7,118750.0,118251.2,118530.4,4148.907,118239.92,,,,,,,99.28835,,,,,,,
2025-07-20 14:15:00,118530.4,118794.0,118430.7,118627.4,1625.784,118345.72,,,,,,,99.38379,241.3,,,,,,
2025-07-20 14:30:00,118627.3,118780.6,118502.9,118563.9,789.655,118439.86,,,,,,,90.1504,245.85,,,,,,
2025-07-20 14:45:00,118564.0,118591.4,118355.0,118433.0,781.435,118506.68,,,,,,,73.68608,244.66875,,,,,,
2025-07-20 15:00:00,118433.0,118640.0,118329.9,118640.0,718.925,118558.94,,119039.13,117489.234,,,,80.31781,252.84766,,,,,,
2025-07-20 15:15:00,118640.0,118696.4,118500.0,118696.4,516.948,118592.14,,119078.99,117597.09,,,,81.77764,245.7917,,,,,,
2025-07-20 15:30:00,118696.4,118758.6,118547.0,118574.5,742.813,118581.56,,119035.984,117762.38,,,,68.89294,241.51773,,,,,,
2025-07-20 15:45:00,118574.5,118764.2,118553.6,118669.3,946.805,118602.64,,119049.48,117851.2,,,,72.78359,237.65302,,,,,,
2025-07-20 16:00:00,118669.4,118856.6,118522.3,118601.2,1660.407,118636.28,,119025.85,117958.625,,,,65.87817,249.73389,,,,,,
2025-07-20 16:15:00,118601.1,118651.6,118450.0,118645.2,917.547,118637.32,,118970.44,118106.04,,,,68.15559,243.71716,,,,,,
2025-07-20 16:30:00,118645.1,118818.0,118596.0,118724.3,753.69,118642.9,,118856.375,118324.34,,,,72.065926,241.00252,,,,,,
2025-07-20 16:45:00,118724.3,118730.3,118491.4,118543.8,515.2,118636.76,,118812.65,118395.586,,,,54.31106,240.7397,,,,,,
2025-07-20 17:00:00,118543.7,118543.8,118156.7,118320.4,2361.164,118566.98,,118881.33,118291.91,,,,40.059906,259.03473,,,,,,
2025-07-20 17:15:00,118320.5,118430.0,118222.9,118320.3,522.344,118510.8,118393.6,118913.38,118208.67,,,,40.054417,252.5429,,,,,,
2025-07-20 17:30:00,118320.4,118431.6,118030.5,118209.7,775.015,118423.7,118412.625,118970.58,118092.44,,,-87.83601,34.036896,271.11252,,,,,,
2025-07-20 17:45:00,118209.6,118209.7,117912.8,118003.4,1399.412,118279.52,118420.375,119084.76,117906.664,,,-95.84635,25.65081,274.33597,,,,,,
2025-07-20 18:00:00,118003.4,118208.9,118003.4,118178.4,807.47,118206.44,118426.23,119077.484,117836.99,,,-76.22658,40.22581,265.73148,,,,,,
2025-07-20 18:15:00,118178.3,118205.0,118056.7,118181.0,495.534,118178.56,118430.164,119033.055,117795.53,,,-58.93101,40.428234,251.05254,,,,,,
2025-07-20 18:30:00,118180.9,118235.1,118068.7,118210.0,696.644,118156.5,118435.73,119005.125,117762.7,,,-42.21862,42.942577,240.47096,,,,,,
2025-07-20 18:45:00,118210.0,118421.0,118209.9,118329.1,996.849,118180.38,118446.69,118932.1,117779.03,,,-20.376925,52.540333,236.79959,,,,,,
2025-07-20 19:00:00,118329.2,118538.4,118329.1,118494.0,643.46,118278.5,118452.18,118900.53,117792.734,,,5.0199027,62.680573,233.36215,,,,,,
2025-07-20 19:15:00,118494.1,118549.4,118405.7,118526.8,402.137,118348.18,118452.01,118857.98,117815.56,,,18.756361,64.44353,222.15437,,,,,,
2025-07-20 19:30:00,118526.7,118526.8,118328.8,118328.8,348.521,118377.74,118437.79,118719.19,117888.43,119045.49,117669.63,7.3341846,48.355827,219.13509,,,,,,
2025-07-20 19:45:00,118328.8,118363.0,118130.9,118131.2,346.131,118361.98,118417.18,118652.875,117885.98,119010.164,117726.37,-14.450101,37.466007,220.75569,117906.76,117613.35,117319.945,117906.76,119532.93,0.70826465
2025-07-20 20:00:00,118131.2,118157.9,117822.4,118031.8,2155.023,118302.52,118398.08,118664.35,117826.4,118984.25,117765.01,-30.724298,33.092342,235.09874,117882.9,117594.05,117305.195,117882.9,119483.83,0.67882675
2025-07-20 20:15:00,118031.8,118198.3,117968.2,118057.5,541.597,118215.22,118370.336,118659.45,117787.5,118984.055,117765.34,-32.54479,35.368214,234.47389,117882.9,117594.05,117305.195,117882.9,119483.83,0.6893256
2025-07-20 20:30:00,118057.5,118153.8,118040.0,118153.8,295.461,118140.62,118344.5,118657.85,117779.78,118980.37,117772.73,-21.688108,43.73486,219.38966,117828.7,117550.2,117271.695,117828.7,119372.27,0.75574106
2025-07-20 20:45:00,118153.8,118245.3,118057.7,118062.4,310.531,118087.34,118320.12,118647.11,117800.36,118983.02,117768.016,-20.686165,38.25179,215.41595,117716.91,117459.75,117202.59,117716.91,119142.17,0.7765337
2025-07-20 21:00:00,118062.4,118062.5,117800.0,117994.4,1253.766,118059.98,118287.98,118664.73,117752.07,118993.06,117751.01,-22.387535,34.497772,221.30145,117716.91,117459.75,117202.59,117716.91,119142.17,0.74533105
2025-07-20 21:15:00,117994.4,118097.7,117801.8,118065.9,816.607,118066.8,118262.484,118667.26,117730.36,119000.08,117723.14,-14.09233,41.5362,230.62627,117716.91,117459.75,117202.59,117716.91,119142.17,0.77813977
2025-07-20 21:30:00,118065.9,118139.2,117888.1,117988.8,514.114,118053.06,118231.23,118674.02,117686.73,119000.914,117686.195,-13.606399,36.589943,233.18549,117716.91,117459.75,117202.59,117716.91,119142.17,0.74276143
2025-07-20 21:45:00,117988.8,118036.3,117982.8,117982.9,167.563,118018.88,118195.92,118649.39,117653.66,118985.99,117658.16,-11.142568,36.205032,210.72481,117716.91,117459.75,117202.59,117716.91,119142.17,0.74005413
2025-07-20 22:00:00,117982.8,118029.9,116800.0,116875.1,7397.326,117781.42,118116.46,119033.336,116999.9,119220.9,117310.664,-93.88053,10.956619,338.1217,117202.59,117459.75,117716.91,115777.33,117202.59,0.23172578
2025-07-20 22:15:00,116875.0,117265.5,116370.1,117230.0,8280.137,117628.54,118064.54,118988.53,116828.57,119300.125,117151.234,-91.68716,29.367048,407.7815,117202.59,117459.75,117716.91,117202.59,117459.75,0.39457625
