open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA3,MA5,MA56,MACD_Long,MACD_Long_Signal,Volume_MA20,Volume_Ratio,MA_Fast_Signal,MACD_Zero_Cross,BB_Breakout_Strength,Fib_Key_Zone
2025-07-14 09:00:00,122560.0,122566.0,121840.0,121979.9,8211.608,1002723000.0,139268.0,3720.299,454271940.0,,,,,,,,,,,,,,,,,,8211.608,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,,,中性,,,
2025-07-14 10:00:00,121980.0,122149.8,121620.7,121911.8,6309.709,769182600.0,114258.0,3115.677,379833280.0,,,,,,,,,,,,,,,,,,1901.899,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,,,中性,,,
2025-07-14 11:00:00,121911.8,121911.8,121357.0,121474.5,5860.765,712470200.0,124257.0,2831.156,344162430.0,,,,,,,,,,,,,,,,,,-3958.866,,,,,,,,,,,,,,neutral,,,neutral,,,,121788.734,,,,,,,中性,,,
2025-07-14 12:00:00,121474.5,121917.8,121410.0,121894.2,5256.304,640008200.0,111084.0,2824.848,343963330.0,,,,,,,,,,,,,,,,,,1297.438,,,,,,,,,,,,,,neutral,,,neutral,,,,121760.164,,,,,,,中性,,,
2025-07-14 13:00:00,121894.2,122113.9,121150.0,121679.2,11558.576,1406207100.0,210377.0,5621.363,683882560.0,121787.92,,,,,,,,,,,,,,,,,-10261.138,,,,,,,,,,,,,,neutral,,,neutral,,,,121682.63,121787.92,,,,,,快速死叉,,,
2025-07-14 14:00:00,121679.3,121970.9,120612.4,121160.0,15446.152,1871298600.0,294009.0,7424.048,899478400.0,121623.94,,,,,,,,,,,,,,,,,-25707.29,,,,,,,,,,,,,,neutral,,,neutral,,,,121577.8,121623.94,,,,,,快速死叉,,,
2025-07-14 15:00:00,121160.0,121173.2,119590.9,119863.1,18375.395,2207702300.0,315584.0,8319.908,999552640.0,121214.2,,,,,,,,,,,,,,,,,-44082.684,,,,,,,,,,,,,,neutral,,,neutral,,,,120900.766,121214.2,,,,,,快速死叉,,,
2025-07-14 16:00:00,119863.1,120299.0,119200.0,120260.9,16207.432,1940611800.0,274534.0,8518.617,1020059650.0,120971.48,,,,,,24.373882,,,,,,,,,,,-27875.252,,,,,,,,,,,,,,neutral,,,neutral,,,,120428.0,120971.48,,,,,,快速死叉,,,
2025-07-14 17:00:00,120261.0,120510.9,119750.0,119885.2,7329.028,880759940.0,150877.0,3118.39,374845020.0,120569.68,,,,,,21.556744,,,,,,,,,,,-35204.28,,,,,,,,,,,,,,neutral,,,neutral,,,,120003.07,120569.68,,,,,,快速死叉,,,
2025-07-14 18:00:00,119885.2,120166.0,119595.0,119605.6,3920.842,469987970.0,103238.0,1927.643,231099600.0,120154.96,,,,,,19.59077,,,,,,,,,,,-39125.12,,,,,,,,,,,,,,neutral,,,neutral,,,,119917.234,120154.96,,,,,,快速死叉,,,
