open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA3,MA5,MA56,MACD_Long,MACD_Long_Signal,Volume_MA20,Volume_Ratio,MA_Fast_Signal,MACD_Zero_Cross,BB_Breakout_Strength,Fib_Key_Zone
2025-07-14 07:00:00,122124.1,123300.0,122087.7,122731.0,12504.352,1534604700.0,224881.0,6836.741,839097300.0,,,,,,,,,,,,,,,,,,12504.352,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,,,中性,,,
2025-07-14 08:00:00,122731.0,122772.7,122275.6,122560.1,6006.935,735895800.0,128927.0,3007.874,368482700.0,,,,,,,,,,,,,,,,,,6497.417,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,,,中性,,,
2025-07-14 09:00:00,122560.0,122566.0,121840.0,121979.9,8211.608,1002723000.0,139268.0,3720.299,454271940.0,,,,,,,,,,,,,,,,,,-1714.191,,,,,,,,,,,,,,neutral,,,neutral,,,,122423.664,,,,,,,中性,,,
2025-07-14 10:00:00,121980.0,122149.8,121620.7,121911.8,6309.709,769182600.0,114258.0,3115.677,379833280.0,,,,,,,,,,,,,,,,,,-8023.9,,,,,,,,,,,,,,neutral,,,neutral,,,,122150.6,,,,,,,中性,,,
2025-07-14 11:00:00,121911.8,121911.8,121357.0,121474.5,5860.765,712470200.0,124257.0,2831.156,344162430.0,122131.46,,,,,,,,,,,,,,,,,-13884.665,,,,,,,,,,,,,,neutral,,,neutral,,,,121788.734,122131.46,,,,,,快速死叉,,,
2025-07-14 12:00:00,121474.5,121917.8,121410.0,121894.2,5256.304,640008200.0,111084.0,2824.848,343963330.0,121964.1,,,,,,,,,,,,,,,,,-8628.361,,,,,,,,,,,,,,neutral,,,neutral,,,,121760.164,121964.1,,,,,,快速死叉,,,
2025-07-14 13:00:00,121894.2,122113.9,121150.0,121679.2,11558.576,1406207100.0,210377.0,5621.363,683882560.0,121787.92,,,,,,,,,,,,,,,,,-20186.938,,,,,,,,,,,,,,neutral,,,neutral,,,,121682.63,121787.92,,,,,,快速死叉,,,
2025-07-14 14:00:00,121679.3,121970.9,120612.4,121160.0,15446.152,1871298600.0,294009.0,7424.048,899478400.0,121623.94,,,,,,17.412048,,,,,,,,,,,-35633.09,,,,,,,,,,,,,,neutral,,,neutral,,,,121577.8,121623.94,,,,,,快速死叉,,,
2025-07-14 15:00:00,121160.0,121173.2,119590.9,119863.1,18375.395,2207702300.0,315584.0,8319.908,999552640.0,121214.2,,,,,,10.697218,,,,,,,,,,,-54008.484,,,,,,,,,,,,,,neutral,,,neutral,,,,120900.766,121214.2,,,,,,快速死叉,,,
2025-07-14 16:00:00,119863.1,120299.0,119200.0,120260.9,16207.432,1940611800.0,274534.0,8518.617,1020059650.0,120971.48,,,,,,21.526798,,,,,,,,,,,-37801.05,,,,,,,,,,,,,,neutral,,,neutral,,,,120428.0,120971.48,,,,,,快速死叉,,,
2025-07-14 17:00:00,120261.0,120510.9,119750.0,119885.2,7329.028,880759940.0,150877.0,3118.39,374845020.0,120569.68,,,,,,18.989439,,,,,,,,,,,-45130.08,857.94,,,,,,,,,,,,,neutral,,,neutral,,,,120003.07,120569.68,,,,,,快速死叉,,,
2025-07-14 18:00:00,119885.2,120166.0,119595.0,119605.6,3920.842,469987970.0,103238.0,1927.643,231099600.0,120154.96,,,,,,17.22648,,,,,,,,,,,-49050.92,829.246,,,,,,,,,,,,,neutral,,,neutral,,,,119917.234,120154.96,,,,,,快速死叉,,,
2025-07-14 19:00:00,119605.4,120076.9,119564.2,119920.0,4490.327,538089150.0,97839.0,2611.854,312989060.0,119906.96,,,,,,26.213188,,,,,,,,,19.605247,20.000755,-44560.594,797.5914,,,,,,,,,,,,,neutral,,,neutral,,,,119803.6,119906.96,,,,,,快速死叉,,,
2025-07-14 20:00:00,119920.3,120430.0,119505.0,120130.1,6220.405,746831400.0,98428.0,3775.635,453348830.0,119960.36,,,,,,31.971443,,,124084.14,121075.4,118066.66,,,,23.459553,21.443958,-38340.188,810.3323,,,,,,,,,,,,,neutral,,,neutral,,,,119885.234,119960.36,,,,,,快速死叉,,,
2025-07-14 21:00:00,120130.0,120230.6,119798.4,120000.1,2647.591,317746050.0,60573.0,1192.976,143169900.0,119908.2,,,,,,30.266394,24.783468,,123677.484,120880.336,118083.19,,,,28.028873,23.697891,-40987.78,772.51904,,,,,,,,,,,,,neutral,,,neutral,,,,120016.734,119908.2,,,,,,快速金叉,,,
2025-07-14 22:00:00,120000.1,120292.6,119889.2,120014.6,2319.658,278603800.0,58168.0,1307.731,157074640.0,119934.08,,,,,,30.746994,24.999752,,123219.09,120698.516,118177.94,,,,29.591953,27.026793,-38668.12,735.6071,,,,,,,,,,,,,neutral,,,neutral,,,,120048.266,119934.08,,,,,,快速金叉,,,
2025-07-14 23:00:00,120014.6,120028.1,119735.6,119816.5,2155.509,258317360.0,48570.0,1012.472,121328870.0,119976.26,,,,,,27.703703,23.985016,,122922.66,120543.984,118165.31,,,,29.366701,28.995842,-40823.633,691.29645,,,,,,,,,,,,,neutral,,,neutral,,,,119943.734,119976.26,,,,,,快速死叉,,,
2025-07-15 00:00:00,119816.5,119919.4,119000.0,119458.4,6038.482,721391040.0,108897.0,2547.208,304386300.0,119883.94,,,,,,22.919472,22.228577,,122606.35,120368.74,118131.13,,,,30.327196,29.76195,-46862.113,714.10675,,,,,,,,,,,,,neutral,,,neutral,,,,119763.164,119883.94,,,,,,快速死叉,,,
