open_time,开盘价,最高价,最低价,收盘价,成交量,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,ATR,ATR_Long,ADX,OBV,MA3,Volume_MA20,Volume_Ratio,MA_Fast_Signal,MACD_Zero_Cross,BB_Breakout_Strength,Fib_Key_Zone,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ext_1.272,Fib_Trend,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level
2025-07-20 12:15:00,117883.4,118025.8,117788.2,117810.1,1165.307,,,,,,,,,,,,,,,,,1165.307,,,,中性,,,,,,,,neutral,neutral,,
2025-07-20 12:30:00,117810.0,117892.3,117769.3,117840.8,927.034,,,,,,,,,,,,,,,,,2092.341,,,,中性,,,,,,,,neutral,neutral,,
2025-07-20 12:45:00,117840.8,118157.8,117800.0,118055.4,972.733,,,,,,,,,,,,,,,,,3065.074,117902.1,,,中性,,,,,,,,neutral,neutral,,
2025-07-20 13:00:00,118055.5,118180.8,118055.4,118098.4,785.187,,,,,,,,,,,,,,,,,3850.261,117998.2,,,中性,,,,,,,,neutral,neutral,,
2025-07-20 13:15:00,118098.4,118140.0,118053.2,118093.2,502.702,117979.58,,,,,,,,,,,,,,,,3347.559,118082.336,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 13:30:00,118093.2,118133.0,118055.1,118098.9,461.484,118037.34,,,,,,,,,,,,,,,,3809.043,118096.836,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 13:45:00,118098.8,118383.0,118085.6,118378.7,972.139,118144.92,,,,,,,,,,,,,,,,4781.182,118190.266,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 14:00:00,118378.7,118750.0,118251.2,118530.4,4148.907,118239.92,,,,,99.28835,,,,,,,,,,,8930.089,118336.0,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 14:15:00,118530.4,118794.0,118430.7,118627.4,1625.784,118345.72,,,,,99.38379,,,,,,,,241.3,,,10555.873,118512.164,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 14:30:00,118627.3,118780.6,118502.9,118563.9,789.655,118439.86,,,,,90.1504,,,,,,,,245.85,,,9766.218,118573.9,,,快速金叉,,,,,,,,neutral,neutral,,
2025-07-20 14:45:00,118564.0,118591.4,118355.0,118433.0,781.435,118506.68,,,,,73.68608,,,,,,,,244.66875,,,8984.783,118541.43,,,快速金叉,,,,,,,,neutral,neutral,,
