open_time,开盘价,最高价,最低价,收盘价,成交量,MA20,MA50,MA89,BB_Upper,BB_Lower,BB_Long_Upper,BB_Long_Lower,MACD_Hist,RSI,ATR,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MACD_Long
2025-07-14 09:00:00,122560.0,122566.0,121840.0,121979.9,8211.608,,,,,,,,,,,,,,,,,
2025-07-14 10:00:00,121980.0,122149.8,121620.7,121911.8,6309.709,,,,,,,,,,,,,,,,,
2025-07-14 11:00:00,121911.8,121911.8,121357.0,121474.5,5860.765,,,,,,,,,,,,,,,,,
2025-07-14 12:00:00,121474.5,121917.8,121410.0,121894.2,5256.304,,,,,,,,,,,,,,,,,
2025-07-14 13:00:00,121894.2,122113.9,121150.0,121679.2,11558.576,121787.92,,,,,,,,,,,,,,,,
2025-07-14 14:00:00,121679.3,121970.9,120612.4,121160.0,15446.152,121623.94,,,,,,,,,,,,,,,,
2025-07-14 15:00:00,121160.0,121173.2,119590.9,119863.1,18375.395,121214.2,,,,,,,,,,,,,,,,
2025-07-14 16:00:00,119863.1,120299.0,119200.0,120260.9,16207.432,120971.48,,,,,,,,24.373882,,,,,,,,
2025-07-14 17:00:00,120261.0,120510.9,119750.0,119885.2,7329.028,120569.68,,,,,,,,21.556744,,,,,,,,
2025-07-14 18:00:00,119885.2,120166.0,119595.0,119605.6,3920.842,120154.96,,,,,,,,19.59077,,,,,,,,
2025-07-14 19:00:00,119605.4,120076.9,119564.2,119920.0,4490.327,119906.96,,,,,,,,28.183142,844.0,,,,,,,
2025-07-14 20:00:00,119920.3,120430.0,119505.0,120130.1,6220.405,119960.36,,,,,,,,33.706093,852.1,,,,,,,
2025-07-14 21:00:00,120130.0,120230.6,119798.4,120000.1,2647.591,119908.2,,,,,,,,31.933321,810.11,,,,,,,
2025-07-14 22:00:00,120000.1,120292.6,119889.2,120014.6,2319.658,119934.08,,,123219.09,118177.94,,,,32.396008,769.439,,,,,,,
2025-07-14 23:00:00,120014.6,120028.1,119735.6,119816.5,2155.509,119976.26,,,122922.66,118165.31,,,,29.22912,721.7451,,,,,,,
2025-07-15 00:00:00,119816.5,119919.4,119000.0,119458.4,6038.482,119883.94,,,122606.35,118131.13,,,,24.233171,741.5106,,,,,,,
2025-07-15 01:00:00,119458.4,119497.8,118376.5,118491.3,12335.751,119556.18,,,122599.78,117711.54,,,,15.750781,779.4895,,,,,,,
2025-07-15 02:00:00,118491.4,118873.2,117833.0,118251.9,15348.778,119206.54,,,122298.22,117492.77,,,,14.304719,805.5606,,,,,,,
