open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position
2025-07-17 07:30:00,117907.4,118548.0,117907.3,118531.0,2096.596,247937390.0,36834.0,1392.54,164651900.0,118371.9,118277.11,,1.6417238,26.524536,-24.882812,57.2607,54.75331,,118755.836,118384.58,118013.31,,,,33.93538,30.121382,3033.16,338.7334,,,19.08557,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 07:45:00,118531.0,118531.0,118275.6,118293.9,644.83,76344010.0,18043.0,266.604,31563686.0,118339.89,118276.59,,0.25337985,17.767485,-17.514105,48.598713,49.579178,49.842117,118741.19,118370.24,117999.3,,,,45.50892,34.299335,2388.33,328.3167,292.32858,1.1231085,17.715069,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 08:00:00,118293.8,118321.7,118065.7,118115.4,942.428,111363270.0,21745.0,368.637,43556290.0,118295.44,118267.7,,-34.552025,0.327648,-34.879673,42.898903,46.050945,47.27525,118747.21,118357.875,117968.54,,,,54.189117,44.54447,1445.902,319.27713,290.59863,1.0986876,16.895128,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 08:15:00,118115.4,118250.0,118087.8,118236.2,655.511,77470904.0,18837.0,336.392,39755972.0,118246.2,118279.97,,-29.78597,-9.710224,-20.075745,47.738335,48.71103,49.13661,118739.79,118346.07,117952.34,,,,48.22709,49.308376,2101.413,299.6425,284.4844,1.0532826,16.177681,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 08:30:00,118236.2,118398.7,118106.0,118378.9,1451.474,171664620.0,27742.0,827.556,97871940.0,118242.586,118305.35,,1.5368224,-5.961209,7.498031,53.20422,51.738327,51.270412,118714.664,118333.3,117951.94,,,,57.00701,53.14107,3552.887,298.7747,284.87564,1.0487899,14.72863,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 08:45:00,118379.0,118408.2,118213.3,118313.6,611.903,72391530.0,18078.0,267.228,31613444.0,118226.875,118326.53,,6.9242835,-1.6660448,8.590328,50.390617,50.275932,50.25737,118676.375,118313.6,117950.82,,,,67.67444,57.63618,2940.984,285.79034,280.5911,1.0185297,13.582767,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 09:00:00,118313.6,118614.1,118221.8,118540.0,1248.951,147942060.0,27404.0,747.575,88557530.0,118289.55,118347.92,,52.796913,16.488276,36.30864,59.1325,55.022663,53.595287,118691.71,118319.35,117946.99,,,,78.27056,67.65067,4189.935,299.10406,285.91055,1.0461456,14.967376,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 09:15:00,118540.0,119183.1,118465.6,119133.5,3099.025,368351300.0,55820.0,1902.472,226129310.0,118442.81,118390.49,,189.54332,74.173294,115.37003,73.44421,64.57079,60.830173,118895.945,118361.3,117826.66,,,,84.43284,76.79261,7288.96,351.40353,306.46243,1.1466447,19.849436,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 09:30:00,119133.5,119216.4,118860.6,118978.7,1662.72,197890610.0,35517.0,820.421,97654040.0,118498.77,118425.695,,229.17255,125.839714,103.33284,66.37141,60.937157,58.3392,119026.0,118408.875,117791.75,,,,88.14009,83.614494,5626.24,351.9531,308.81183,1.1397008,24.267246,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 09:45:00,118978.7,119004.8,118758.6,118758.6,971.627,115519980.0,21901.0,341.744,40635020.0,118556.86,118445.89,,198.98103,150.22015,48.76088,57.229263,56.10295,54.97812,119076.83,118435.484,117794.14,118874.99,118352.27,117829.55,78.11353,83.56215,4654.613,338.73398,305.83032,1.1075879,26.54844,,,,,,,,,,neutral,,,neutral,,,
2025-07-17 10:00:00,118758.6,118867.9,118546.6,118615.3,1235.678,146651550.0,29747.0,553.37,65679344.0,118619.35,118453.01,,144.9582,148.46617,-3.5079627,51.808723,53.14677,52.89484,119091.85,118483.54,117875.234,118891.88,118362.62,117833.36,61.54861,75.934074,3418.935,336.55472,306.567,1.0978179,25.649937,118527.42,118314.6,118101.77,118790.75,117798.77,119216.4,117412.8,119706.98,119963.09,uptrend,119216.4,117412.8,fib_golden_zone,118527.42,119706.98,0.6667221
2025-07-17 10:15:00,118615.3,118650.0,118518.3,118550.2,777.989,92262560.0,21414.0,417.483,49510320.0,118658.6,118466.64,,94.78525,130.57253,-35.787277,49.33223,51.81114,51.955734,119058.95,118537.11,118015.266,118903.15,118370.89,117838.63,46.296238,61.986126,2640.946,310.94788,298.24,1.0426097,24.502848,118527.42,118314.6,118101.77,118790.75,117798.77,119216.4,117412.8,119706.98,119963.09,uptrend,119216.4,117412.8,fib_618_bounce,118527.42,119706.98,0.63062763
2025-07-17 10:30:00,118550.1,118550.2,118277.9,118277.9,1129.306,133715730.0,29337.0,452.639,53599628.0,118645.98,118461.88,,9.734739,90.29327,-80.558525,40.001358,46.542355,48.197514,119053.62,118516.016,117978.42,118897.875,118380.87,117863.86,28.364233,45.403027,1511.64,306.11688,297.00473,1.0306802,22.149578,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,119706.98,119963.09,neutral,119216.4,117412.8,neutral,,,
2025-07-17 10:45:00,118277.9,118454.9,118210.0,118331.2,1463.552,173184850.0,25186.0,697.702,82553980.0,118648.17,118452.31,,-29.176731,50.469933,-79.64667,42.485603,47.66424,48.956367,119052.87,118519.125,117985.38,118882.63,118397.05,117911.45,17.089756,30.583408,2975.192,298.46478,294.52356,1.0133817,20.77238,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,119706.98,119963.09,neutral,119216.4,117412.8,neutral,,,
2025-07-17 11:00:00,118331.2,118389.9,118135.9,118223.0,1322.096,156320660.0,25303.0,595.045,70354280.0,118608.55,118436.74,,-70.63201,10.102618,-80.73463,38.691452,45.57333,47.474007,119042.18,118528.09,118014.0,118865.45,118408.85,117952.26,8.581489,18.011826,1653.096,292.90668,292.59387,1.0010691,20.314722,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,119706.98,119963.09,neutral,119216.4,117412.8,neutral,,,
2025-07-17 11:15:00,118222.9,118282.1,118128.1,118157.9,922.795,109078100.0,18289.0,344.868,40765520.0,118486.6,118421.836,,-103.357315,-27.71736,-75.63995,36.409096,44.313766,46.58293,119048.96,118521.57,117994.17,118863.13,118411.086,117959.04,7.834373,11.168539,730.301,275.54333,285.99417,0.96345794,19.99746,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,119706.98,119963.09,neutral,119216.4,117412.8,neutral,,,
2025-07-17 11:30:00,118157.8,118194.3,118100.1,118144.7,732.263,86505570.0,16165.0,347.978,41109016.0,118382.35,118398.72,,-119.649994,-58.361572,-61.288425,35.908024,44.04793,46.397522,119058.62,118502.05,117945.484,118864.875,118407.93,117950.984,5.7563324,7.3907313,-1.962,252.87543,276.8611,0.91336566,20.047606,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,119706.98,119963.09,neutral,119216.4,117412.8,neutral,,,
2025-07-17 11:45:00,118144.6,118157.6,117915.2,117968.9,1297.205,153116930.0,23307.0,442.688,52259036.0,118283.64,118377.82,,-156.7482,-91.15711,-65.59108,29.58226,40.558273,43.9512,119085.086,118473.33,117861.56,118874.6,118398.91,117923.22,5.505342,6.3653493,-1299.167,251.566,275.2201,0.91405386,22.021614,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.3083278
2025-07-17 12:00:00,117968.8,118076.1,117732.7,117803.5,1993.196,234946020.0,41767.0,937.48,110509250.0,118182.164,118347.54,,-201.98773,-128.10065,-73.88708,24.788883,37.544537,41.775272,119106.2,118411.95,117717.695,118894.15,118381.21,117868.266,7.2591553,6.1736097,-3292.363,263.04526,278.46677,0.9446199,25.188707,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.21662231
2025-07-17 12:15:00,117803.4,117846.2,117416.1,117465.0,2589.067,304542530.0,43072.0,928.025,109185780.0,118046.516,118320.23,,-282.69662,-179.63264,-103.06398,17.873802,32.26114,37.758305,118994.63,118272.91,117551.18,118938.94,118347.84,117756.76,6.8920054,6.5521674,-5881.43,283.9271,285.68738,0.99383837,29.687244,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.028942116
2025-07-17 12:30:00,117464.9,117974.5,117412.8,117974.4,4054.536,477331460.0,60329.0,2446.481,288041100.0,118008.58,118323.42,,-218.32567,-192.53032,-25.795351,44.873035,44.840816,45.96788,118811.914,118189.22,117566.516,118941.016,118338.2,117735.38,23.614704,12.588621,-1826.894,318.6487,298.83084,1.066318,31.439587,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.31137726
2025-07-17 12:45:00,117974.5,118180.1,117853.3,117853.3,1937.5,228691330.0,34225.0,1085.803,128178264.0,117948.836,118291.15,,-194.21248,-193.09103,-1.1214386,41.123386,42.805637,44.50267,118672.57,118113.77,117554.984,118943.305,118320.71,117698.125,37.61884,22.708515,-3764.394,319.66763,300.16272,1.0649811,29.997496,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.24423376
2025-07-17 13:00:00,117853.3,118016.8,117698.9,117834.6,1598.318,188344430.0,30660.0,755.863,89072170.0,117900.29,118269.27,,-174.7472,-186.97643,12.229225,40.5135,42.484974,44.273857,118550.38,118048.72,117547.055,118935.086,118297.46,117659.84,54.040764,38.424767,-5362.712,319.44666,301.00735,1.0612587,29.981833,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.2338656
2025-07-17 13:15:00,117834.6,117919.2,117639.0,117889.9,927.742,109276450.0,24247.0,492.31,57992844.0,117866.79,118258.54,,-144.76956,-172.90747,28.137913,43.409092,43.825134,45.14954,118418.86,117993.695,117568.52,118920.48,118275.46,117630.445,55.608383,49.08933,-4434.97,314.54083,300.0165,1.0484117,30.426575,118101.77,118314.6,118527.42,117838.45,118830.43,117412.8,119216.4,116922.22,116666.11,downtrend,119216.4,117412.8,neutral,116922.22,118101.77,0.26452652
2025-07-17 13:30:00,117890.0,118027.5,117555.6,117637.1,2363.508,278417800.0,53023.0,1083.899,127676296.0,117803.336,118230.01,,-168.89807,-171.571,2.6729343,34.46239,39.315186,41.982883,118369.305,117940.29,117511.28,118921.03,118247.664,117574.3,48.461525,52.703556,-6798.478,334.21072,308.20145,1.0843905,29.187778,118057.31,118256.4,118455.49,117810.98,118738.94,117412.8,119100.0,116953.88,116714.3,downtrend,119100.0,117412.8,neutral,116953.88,118057.31,0.13294216
