open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11063.629,1146964103.3846,238680.0,5443.356,564383354.7173
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10547.557,1091481283.1481,248964.0,5274.833,545868291.8781
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29627.761,3088243138.3317,483855.0,15273.82,1592085413.5308
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091.248,1159020934.5171,251612.0,4767.556,498273458.7386
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8321.789,871059140.0564,197493.0,3753.188,392842860.0603
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341.262,1494574423.2166,304254.0,7393.677,770555576.2971
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9469.678,988693150.0332,202506.0,4674.207,488004046.7718
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15555.538,1617474940.6697,318122.0,7830.878,814338190.6423
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16896.822,1763524927.5276,345663.0,8306.908,866953680.6899
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033.126,2521074043.7899,445618.0,12154.681,1275119487.2696
2025-06-01 20:00:00,105075.2,105823.6,104833.1,105583.3,17123.814,1804393208.0395,343786.0,8420.127,887338119.9331
2025-06-02 00:00:00,105583.3,105700.0,104520.0,104781.8,17614.141,1851799777.5764,375517.0,8198.17,861902133.1769
2025-06-02 04:00:00,104781.8,105398.5,104549.8,105346.4,15376.453,1614097051.5661,303406.0,7701.878,808574901.645
2025-06-02 08:00:00,105346.4,105900.0,103867.8,104000.0,39491.959,4137952375.7934,656632.0,18873.183,1977555778.9608
2025-06-02 12:00:00,104000.1,104646.1,103600.6,104396.8,42551.179,4430377424.7079,783618.0,21840.375,2274315514.761
2025-06-02 16:00:00,104396.9,104699.4,103982.9,104366.4,15855.761,1653474357.1724,386081.0,7820.324,815556869.4376
2025-06-02 20:00:00,104366.5,105893.8,104366.5,105814.3,27363.425,2881073046.7583,489549.0,13806.754,1453596873.5109
2025-06-03 00:00:00,105814.4,106470.8,105280.0,105448.8,29321.06,3106506054.4771,547063.0,14330.937,1518296666.9666
2025-06-03 04:00:00,105448.8,105475.4,105062.5,105134.4,12956.522,1363841873.445,249888.0,6638.888,698856543.0501
2025-06-03 08:00:00,105134.4,105305.2,104822.4,105240.1,12289.458,1291619143.7914,235405.0,6366.031,669099896.1349
2025-06-03 12:00:00,105240.1,106775.0,104969.4,106556.1,42236.633,4477072333.5646,748259.0,21321.94,2260014678.524
2025-06-03 16:00:00,106556.1,106619.6,105526.2,106171.8,25039.332,2655054853.6118,493736.0,12456.712,1320794214.3851
2025-06-03 20:00:00,106179.7,106208.0,105200.4,105330.1,17373.002,1834021649.8952,332557.0,8615.631,909501890.36
2025-06-04 00:00:00,105330.1,105800.0,105072.0,105474.9,15154.628,1598544478.4556,313623.0,7874.639,830707742.0521
2025-06-04 04:00:00,105474.8,105566.4,105200.0,105260.2,9967.039,1049952406.286,211200.0,5278.603,556082849.1662
