open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,Stoch_SlowK,Stoch_SlowD,ATR,ATR_Long,ADX,OBV
2025-06-03 12:00:00,105240.1,106775.0,104969.4,106556.1,42237,4477072400,104808.48,,,,,,,65.95,,106217.43,104808.48,103399.52,,67.8882,65.858,966.29,,,76178
2025-06-03 16:00:00,106556.1,106619.6,105526.2,106171.8,25039,2655054800,104944.02,,,,,,,62.45,61.58,106329.73,104944.02,103558.31,,77.0746,67.7601,975.37,,,51139
2025-06-03 20:00:00,106179.7,106208.0,105200.4,105330.1,17373,1834021600,104985.67,,,,,,,55.49,56.87,106365.21,104985.67,103606.14,,76.195,73.7192,977.67,,,33766
2025-06-04 00:00:00,105330.1,105800.0,105072.0,105474.9,15155,1598544500,105026.73,,,,,,,56.39,57.46,106413.17,105026.73,103640.28,,64.8416,72.7037,959.84,,,48921
2025-06-04 04:00:00,105474.8,105566.4,105200.0,105260.2,9967,1049952400,105062.5,,,,,,,54.63,56.27,106434.2,105062.5,103690.8,,55.2692,65.4353,917.45,,,38954
2025-06-04 08:00:00,105260.1,105967.2,105039.1,105044.1,22229,2344837600,105097.88,,,,,,,52.84,55.06,106428.73,105097.88,103767.04,,52.266,57.459,918.21,,,16724
2025-06-04 12:00:00,105044.2,105510.2,104111.7,105254.7,44030,4617509400,105149.07,,,,,,,54.4,56.02,106420.02,105149.07,103878.12,,49.9538,52.4964,952.52,,,60755
2025-06-04 16:00:00,105254.7,105437.8,104824.0,104870.4,14054,1477469700,105190.69,,,,,,,51.07,53.8,106364.15,105190.69,104017.23,,45.8606,49.3602,928.32,,25.2908,46700
2025-06-04 20:00:00,104870.4,105006.3,104350.0,104641.8,13099,1371249500,105189.58,,,,,,,49.13,52.51,106365.07,105189.58,104014.09,,38.5692,44.7945,908.89,,23.7053,33602
2025-06-05 00:00:00,104641.8,105225.6,104594.8,104991.4,11856,1243924000,105185.39,,,,,,,52.12,54.28,106363.08,105185.39,104007.7,,32.2101,38.88,889.03,,22.524,45458
2025-06-05 04:00:00,104991.5,105183.0,104321.2,104473.0,15488,1621008400,105129.88,,,,,,,47.65,51.3,106331.73,105129.88,103928.02,,23.3984,31.3926,887.08,,21.0179,29970
2025-06-05 08:00:00,104473.1,104880.0,104373.0,104772.7,10288,1076735900,105129.42,,,,,,,50.3,52.87,106331.8,105129.42,103927.03,,23.8051,26.4712,859.93,,19.6194,40259
2025-06-05 12:00:00,104772.7,105878.3,103825.0,104490.5,68597,7188311600,105086.62,,,,,,,47.85,51.24,106315.7,105086.62,103857.55,,20.3147,22.506,945.18,,19.6195,-28338
2025-06-05 16:00:00,104490.5,104547.9,101500.0,101872.9,76338,7856618500,104980.27,,,-163.7298,220.2057,-383.9355,,32.16,39.38,106795.44,104980.27,103165.1,,18.1491,20.7563,1095.37,,19.5194,-104677
2025-06-05 20:00:00,101873.0,102163.9,100305.1,101458.6,63671,6439935500,104833.36,,,-390.3516,98.0942,-488.4459,,30.46,37.92,107204.2,104833.36,102462.52,,15.9653,18.143,1149.9,,20.2967,-168348
2025-06-06 00:00:00,101458.7,102464.7,101003.4,102444.9,24398,2482944000,104737.28,,,-484.7768,-18.48,-466.2968,,38.77,43.18,107322.1,104737.28,102152.47,,20.5289,18.2144,1172.14,,20.657,-143950
