open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA144,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,MACD_Long_Hist,RSI,RSI_Long,RSI_Extra_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Width,BB_Squeeze,BB_Signal,Stoch_Signal,综合信号
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11063.629,1146964103.3846,238680.0,5443.356,564383354.7173,,,,,,,,,,,,,,,,,,,,,,11063.629,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10547.557,1091481283.1481,248964.0,5274.833,545868291.8781,,,,,,,,,,,,,,,,,,,,,,516.0720000000001,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29627.761,3088243138.3317,483855.0,15273.82,1592085413.5308,,,,,,,,,,,,,,,,,,,,,,30143.833,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091.248,1159020934.5171,251612.0,4767.556,498273458.7386,,,,,,,,,,,,,,,,,,,,,,41235.081,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8321.789,871059140.0564,197493.0,3753.188,392842860.0603,,,,,,,,,,,,,,,,,,,,,,32913.292,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341.262,1494574423.2166,304254.0,7393.677,770555576.2971,,,,,,,,,,,,,,,,,,,,,,18572.03,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9469.678,988693150.0332,202506.0,4674.207,488004046.7718,,,,,,,,,,,,,,,,,,,,,,9102.351999999999,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15555.538,1617474940.6697,318122.0,7830.878,814338190.6423,,,,,,,,,,,,,,,,,,,,,,-6453.1860000000015,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16896.822,1763524927.5276,345663.0,8306.908,866953680.6899,,,,,,,,,,,,,,,,,,,,,,10443.635999999999,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033.126,2521074043.7899,445618.0,12154.681,1275119487.2696,,,,,,,,,,,,,,,,,,,,,,34476.762,,,,,2025-07-20 11:19:15,中性,中性,中性,,False,中轨附近,中性,中性
