open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA144,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,MACD_Long_Hist,RSI,RSI_Long,RSI_Extra_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,BB_Width,BB_Squeeze
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11063.629,1146964103.3846,238680.0,5443.356,564383354.7173,,,,,,,,,,,,,,,,,,,,,,11063.629,,,,,,False
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10547.557,1091481283.1481,248964.0,5274.833,545868291.8781,,,,,,,,,,,,,,,,,,,,,,516.0720000000001,,,,,,False
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29627.761,3088243138.3317,483855.0,15273.82,1592085413.5308,,,,,,,,,,,,,,,,,,,,,,30143.833,,,,,,False
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091.248,1159020934.5171,251612.0,4767.556,498273458.7386,,,,,,,,,,,,,,,,,,,,,,41235.081,,,,,,False
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8321.789,871059140.0564,197493.0,3753.188,392842860.0603,,,,,,,,,,,,,,,,,,,,,,32913.292,,,,,,False
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341.262,1494574423.2166,304254.0,7393.677,770555576.2971,,,,,,,,,,,,,,,,,,,,,,18572.03,,,,,,False
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9469.678,988693150.0332,202506.0,4674.207,488004046.7718,,,,,,,,,,,,,,,,,,,,,,9102.352,,,,,,False
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15555.538,1617474940.6697,318122.0,7830.878,814338190.6423,,,,,,,,,,,,,,,,,,,,,,-6453.1860000000015,,,,,,False
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16896.822,1763524927.5276,345663.0,8306.908,866953680.6899,,,,,,,,,,,,,,,,,,,,,,10443.636,,,,,,False
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033.126,2521074043.7899,445618.0,12154.681,1275119487.2696,,,,,,,,,,,,,,,,,,,,,,34476.762,,,,,,False
2025-06-01 20:00:00,105075.2,105823.6,104833.1,105583.3,17123.814,1804393208.0395,343786.0,8420.127,887338119.9331,,,,,,,,,,,,,,,,,,,,,,51600.576,,,,,,False
2025-06-02 00:00:00,105583.3,105700.0,104520.0,104781.8,17614.141,1851799777.5764,375517.0,8198.17,861902133.1769,,,,,,,,,,,,,,,,,,,,,,33986.435,,,,,,False
2025-06-02 04:00:00,104781.8,105398.5,104549.8,105346.4,15376.453,1614097051.5661,303406.0,7701.878,808574901.645,,,,,,,,,,,,,,,,,,,,,,49362.888,,,,,,False
2025-06-02 08:00:00,105346.4,105900.0,103867.8,104000.0,39491.959,4137952375.7934,656632.0,18873.183,1977555778.9608,,,,,,,,,,,,,,,,,,,,,,9870.928999999996,,,,,,False
2025-06-02 12:00:00,104000.1,104646.1,103600.6,104396.8,42551.179,4430377424.7079,783618.0,21840.375,2274315514.761,,,,,,,,,,,55.19304212913234,,,,,,,,,,,52422.10799999999,928.664285714286,,,,,False
2025-06-02 16:00:00,104396.9,104699.4,103982.9,104366.4,15855.761,1653474357.1724,386081.0,7820.324,815556869.4376,,,,,,,,,,,54.92478919047304,,,,,,,,,,,36566.347,913.5096938775512,,,,,False
2025-06-02 20:00:00,104366.5,105893.8,104366.5,105814.3,27363.425,2881073046.7583,489549.0,13806.754,1453596873.5109,,,,,,,,,,,63.91941986918505,,,,,,,,,,,63929.772,957.3590014577268,,,,,False
2025-06-03 00:00:00,105814.4,106470.8,105280.0,105448.8,29321.06,3106506054.4771,547063.0,14330.937,1518296666.9666,,,,,,,,,,,60.63037843341126,,,,,,,,,66.07083258144552,53.82654650947694,34608.712,974.0333584964608,,,,,False
