open_time,开盘价,最高价,最低价,收盘价,成交量,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ext_1.272,Fib_Trend,Fib_Signal,ATR,ADX,OBV
2025-07-17 17:30:00,118694.3,118772.9,118482.9,118656.3,494.704,118666.836,118442.09,74.078766,94.28201,-20.203249,52.24698,119021.57,118675.61,118329.65,118519.88,118830.35,119140.82,120861.56,neutral,neutral,353.56506,20.240288,-2958.815
2025-07-17 17:45:00,118656.3,119346.9,118593.9,119255.3,2808.83,118714.375,118503.09,173.41922,120.66108,52.758137,68.51627,119168.17,118717.48,118266.78,119195.766,119531.0,119866.234,121724.25,neutral,neutral,403.49445,22.98032,-149.985
2025-07-17 18:00:00,119255.4,119394.3,119186.3,119206.2,1443.006,118783.06,118567.516,212.57475,151.29897,61.275784,66.354355,119262.8,118782.71,118302.625,119305.02,119619.4,119933.77,117562.64,downtrend,neutral,379.05765,25.617266,-1592.991
2025-07-17 18:15:00,119206.3,119767.4,119206.2,119687.4,3478.393,118925.19,118655.74,316.4839,206.36061,110.123276,75.27464,119513.34,118880.92,118248.51,119308.914,119622.55,119936.18,121674.445,neutral,neutral,401.82544,29.529068,1885.402
2025-07-17 18:30:00,119687.3,119787.7,119629.9,119672.9,1735.977,119078.33,118740.65,358.02795,256.91638,101.111565,74.57952,119671.375,118929.71,118188.04,119308.914,119622.55,119936.18,121674.445,neutral,neutral,371.32227,33.027683,149.425
2025-07-17 18:45:00,119672.9,119713.6,119474.2,119582.5,1019.003,119207.35,118833.29,347.49942,287.11075,60.388695,69.88551,119796.79,118988.664,118180.55,119308.914,119622.55,119936.18,121674.445,neutral,neutral,354.83197,33.92703,-869.578
2025-07-17 19:00:00,119582.4,119879.1,119582.4,119798.7,1405.524,119319.2,118906.484,366.1165,313.44598,52.670506,74.384026,119961.97,119083.836,118205.695,119308.914,119622.55,119936.18,121674.445,neutral,neutral,347.56546,35.593334,535.946
2025-07-17 19:15:00,119798.7,119864.0,119631.2,119650.0,817.62,119438.664,118963.08,330.9969,319.2963,11.700597,66.42226,120043.586,119175.47,118307.34,119308.914,119622.55,119936.18,121674.445,neutral,neutral,333.2198,37.051353,-281.674
2025-07-17 19:30:00,119650.0,119678.0,119446.1,119489.4,1003.172,119542.8,118999.96,264.5763,301.0563,-36.47999,58.52858,120045.125,119262.266,118479.41,119308.914,119622.55,119936.18,121674.445,neutral,neutral,320.5548,35.62683,-1284.846
2025-07-17 19:45:00,119489.4,119490.0,118800.0,118948.8,2783.899,119504.484,119018.98,111.05139,237.72133,-126.66994,39.904793,120001.85,119295.48,118589.1,119308.914,119622.55,119936.18,117570.65,downtrend,neutral,366.73547,33.76505,-4068.745
