open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX
2025-07-17 20:30:00,119003.7,119390.0,118999.7,119221.4,1263,150585300,37132,636,75832430,119306.95,119080.93,118587.73,-15.8523,52.6788,-68.5311,52.2,54.09,53.94,119938.85,119356.45,118774.06,119800.67,118863.3,117925.94,42.4637,32.9053,-14535,415.54,381.48,1.0893,31.0503
2025-07-17 20:45:00,119221.5,119440.8,119076.9,119428.8,1291,153890910,24069,834,99466560,119287.73,119097.19,118613.0,40.6473,48.6683,-8.021,58.36,57.11,56.01,119951.56,119370.91,118790.25,119810.34,118914.6,118018.87,57.1864,42.5503,-13244,409.08,380.64,1.0747,28.1845
2025-07-17 21:00:00,119428.8,120145.9,119410.5,120094.9,7681,920671170,101639,4864,583023740,119324.77,119155.27,118652.77,197.8734,98.4033,99.47,71.93,65.07,61.81,120118.46,119444.97,118771.48,119865.31,118996.52,118127.74,75.2442,58.2981,-5563,449.87,397.53,1.1317,27.9721
2025-07-17 21:15:00,120095.0,120951.5,120094.9,120900.1,9397,1132973400,135197,5388,649576100,119481.02,119262.1,118695.84,431.6657,209.4908,222.1749,80.77,71.87,67.28,120534.12,119546.02,118557.93,120115.38,119084.48,118053.59,88.8612,73.764,3833,500.71,419.39,1.1939,30.495
2025-07-17 21:30:00,120900.0,120930.8,120033.4,120615.2,6635,799413200,103619,3391,408584740,119621.75,119360.43,118738.06,490.4392,303.1403,187.2989,71.48,66.91,63.88,120747.34,119624.55,118501.76,120277.51,119156.27,118035.02,94.1023,86.0692,-2801,550.3,442.16,1.2446,32.2382
2025-07-17 21:45:00,120615.2,120752.1,120177.0,120254.8,1405,169276060,34376,574,69113610,119785.0,119446.48,118776.95,432.0222,346.1009,85.9213,61.11,61.16,59.86,120845.59,119680.58,118515.56,120372.91,119207.6,118042.3,85.2261,89.3966,-4206,553.4,448.49,1.2339,33.7634
2025-07-17 22:00:00,120254.8,120450.0,120112.5,120432.4,1729,207934600,37409,865,103993410,119993.9,119536.1,118816.88,411.8971,368.033,43.8641,64.1,62.85,61.13,120956.93,119733.38,118509.84,120478.84,119270.37,118061.89,77.0177,85.4487,-2477,526.41,443.2,1.1877,34.4986
2025-07-17 22:15:00,120432.4,120706.1,120041.7,120077.6,2029,244176930,39042,821,98855070,120128.15,119591.99,118847.77,313.2019,349.756,-36.554,54.35,57.46,57.33,121003.14,119769.02,118534.89,120537.44,119314.52,118091.59,65.7762,76.0067,-4507,543.66,453.73,1.1982,36.1297
2025-07-17 22:30:00,120077.6,120272.5,120077.4,120162.0,941,113055060,20694,530,63716304,120245.73,119661.88,118881.38,257.9665,319.1595,-61.1929,56.2,58.37,57.99,121063.41,119825.07,118586.73,120587.58,119372.48,118157.38,58.5177,67.1039,-3566,500.09,441.42,1.1329,37.5569
2025-07-17 22:45:00,120162.1,120336.4,119451.3,119767.8,3250,389367100,59489,1399,167510350,120288.1,119714.81,118903.7,139.0336,259.1175,-120.0839,46.03,52.68,53.95,121038.72,119893.32,118747.91,120600.65,119414.44,118228.23,41.0821,55.1253,-6816,548.22,462.55,1.1852,33.3678
