open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA21,MA55,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ADX,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Signal,Stoch_Signal,综合信号
2024-12-30,93699.9,95031.6,91510.0,92759.3,222343.593,20718759693.374,4401173.0,111061.003,10352744732.7416,,,,,,,,,,,,,,222343.593,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2024-12-31,92759.3,96254.3,92000.0,93548.9,178648.116,16839152825.5285,3535447.0,91654.172,8640104348.4182,,,,,,,,,,,,,,400991.70900000003,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-01,93548.8,95161.2,92796.5,94580.9,91236.66,8572615379.7751,1804360.0,45712.481,4296719477.4609,,,,,,,,,,,,,,492228.36900000006,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-02,94580.9,97822.4,94357.4,96967.5,181645.495,17520373569.6746,3485887.0,91670.018,8844274083.0583,,,,,,,,,,,,,,673873.8640000001,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-03,96967.6,98949.0,96061.5,98145.7,125220.674,12191508268.3213,2447503.0,62635.65,6100956961.6788,,,,,,,,,,,,,,799094.5380000001,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-04,98145.7,98760.9,97438.2,98173.2,71914.634,7047067115.1575,1425236.0,34608.531,3391666127.7631,,,,,,,,,,,,,,871009.172,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-05,98173.2,98852.6,97227.0,98340.2,74949.289,7346604757.8706,1416760.0,36787.547,3606330342.2336,,,,,,,,,,,,,,945958.461,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-06,98340.2,102444.0,97872.6,102180.4,207493.329,20828553113.3948,3872847.0,106223.517,10662927605.4019,,,,,,,,,,,,,,1153451.79,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-07,102180.5,102762.1,96153.0,96920.3,258711.309,25560001123.228,4469033.0,124202.163,12272379694.8684,,,,,,,,,,,,,,894740.481,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
2025-01-08,96920.2,97242.2,92500.0,95014.1,262012.113,24890488875.3657,5034341.0,125746.041,11946830838.1646,,,,,,,,,,,,,,632728.368,,,2025-07-18 00:00:05,中性,中性,中性,中轨附近,中性,中性
