open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,Stoch_SlowK,Stoch_SlowD,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ext_1.272,Fib_Trend,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,ATR,ATR_Long,ADX,OBV
2024-11-23,98921.5,98937.3,97173.5,97725.5,120358.42,11819741000.0,85200.77,73176.164,,7040.922,6258.333,782.5889,7681.6,78.04795,75.95368,104683.68,85200.77,65717.86,,95.14983,95.995384,,,,,,,neutral,neutral,,,3399.6626,2696.2126,53.174423,3087643.5
2024-11-24,97725.6,98666.0,95822.1,97960.4,173118.84,16831815000.0,86591.15,73806.19,,6999.0225,6406.4707,592.55164,7791.204,78.26606,76.121605,105336.61,86591.15,67845.69,,93.26833,95.145226,,,,,,,neutral,neutral,,,3359.9653,2699.1665,53.821712,3260762.2
2024-11-25,97960.5,98999.0,92666.0,93064.0,329375.03,31634790000.0,87792.56,74393.23,,6495.8384,6424.344,71.49403,7601.1396,63.993374,66.02926,104721.414,87792.56,70863.71,,79.13204,89.1834,,,,,,,neutral,neutral,,,3572.325,2771.843,52.738495,2931387.2
2024-11-26,93064.0,95064.0,90866.4,92021.4,344929.22,32058954000.0,88872.01,74964.11,,5944.4087,6328.357,-383.94843,7348.4985,61.424747,64.128334,103723.51,88872.01,74020.5,,63.027706,78.47603,,,,,,,neutral,neutral,,,3616.9875,2800.3582,50.921154,2586458.0
2024-11-27,92021.5,97250.0,91864.0,95905.2,237005.98,22446168000.0,89839.875,75603.71,,5754.453,6213.576,-459.1231,7289.938,66.774796,67.75884,103717.51,89839.875,75962.24,,56.28031,66.14669,,,,,,,neutral,neutral,,,3743.3455,2852.071,49.736362,2823464.0
2024-11-28,95905.2,96627.6,94700.1,95694.4,154007.03,14702796000.0,90784.4,76215.35,,5523.234,6075.508,-552.2739,7192.8794,66.237816,67.370255,103366.914,90784.4,78201.89,,60.909782,60.0726,,,,,,,neutral,neutral,,,3613.6423,2833.5796,48.6362,2669457.0
2024-11-29,95694.4,98713.3,95404.5,97516.3,190520.95,18512742000.0,91786.02,76860.68,,5424.473,5945.301,-520.82776,7165.0244,68.588875,68.984406,102920.484,91786.02,80651.56,,73.257195,63.48243,,,,,,,neutral,neutral,,,3591.8677,2843.084,48.06846,2859978.0
2024-11-30,97516.2,97522.1,96150.0,96475.1,93074.22,9004709000.0,92728.88,77473.15,,5202.22,5796.685,-594.4644,7053.3237,65.770134,66.995674,101735.27,92728.88,83722.49,,73.2066,69.12453,,,,,,,neutral,neutral,,,3433.313,2813.6643,47.54127,2766903.8
2024-12-01,96475.2,97933.0,95736.5,97265.1,113222.99,10975144000.0,93531.51,78110.87,,5031.826,5643.713,-611.8869,6962.0527,66.882225,67.73667,100849.43,93531.51,86213.58,,75.94274,74.13551,,,,,,,neutral,neutral,,,3344.9692,2801.321,46.83304,2880126.8
2024-12-02,97265.0,98266.0,94400.0,95890.5,257613.9,24755124000.0,93872.53,78724.664,,4731.329,5461.2363,-729.9073,6780.4756,63.044144,65.067665,100926.15,93872.53,86818.92,,68.90673,72.685356,,,,,,,neutral,neutral,,,3382.1855,2822.6147,45.48314,2622512.8
2024-12-03,95890.6,96375.0,93605.0,95913.3,206601.98,19688305000.0,94250.69,79366.6,,4443.7974,5257.7485,-813.9513,6592.465,63.081985,65.09162,100834.234,94250.69,87667.15,,64.422806,69.75742,,,,,,,neutral,neutral,,,3338.458,2821.5625,43.835236,2829114.8
2024-12-04,95913.3,99099.9,94650.8,98669.8,275949.22,26698553000.0,94643.86,80064.36,,4387.773,5083.7534,-695.9802,6536.5786,67.425026,67.88717,101249.88,94643.86,88037.83,,68.46681,67.26545,,,,,,,neutral,neutral,,,3417.7896,2854.113,43.066658,3105064.0
2024-12-05,98669.8,104630.4,90200.0,97001.5,580277.4,58190880000.0,95101.9,80691.5,,4160.793,4899.161,-738.3684,6372.6978,62.623352,64.59962,100917.086,95101.9,89286.71,,64.42185,65.770485,,,,,,,neutral,neutral,,,4204.405,3085.639,43.457214,2524786.5
2024-12-06,97001.6,101988.8,96429.5,99802.5,282369.6,27983160000.0,95517.51,81357.44,,4158.9844,4751.126,-592.1415,6340.766,66.88711,67.38409,101369.414,95517.51,89665.6,,67.47208,66.78691,,,,,,,neutral,neutral,,,4301.183,3135.112,43.819874,2807156.2
2024-12-07,99802.5,100499.0,98876.9,99899.2,95858.66,9559737000.0,95958.266,82031.24,,4117.8857,4624.478,-506.5922,6286.5957,67.026955,67.47682,101667.86,95958.266,90248.68,,60.29678,64.06357,,,,,,,neutral,neutral,,,4109.82,3104.8518,44.156628,2903014.8
2024-12-08,99899.2,101457.9,98709.4,101200.0,109755.68,10964662000.0,96496.37,82670.06,,4142.526,4528.0874,-385.5616,6273.887,68.927986,68.73247,101944.625,96496.37,91048.11,,69.995056,65.9213,,,,,,,neutral,neutral,,,4012.5828,3097.7249,44.64446,3012770.5
2024-12-09,101200.1,101300.0,94039.7,97349.1,326973.6,32095240000.0,96822.164,83221.06,,3807.4282,4383.9556,-576.52734,6039.107,58.22559,61.367752,101572.48,96822.164,92071.85,,64.32786,64.87323,,,,,,,neutral,neutral,,,4244.5625,3180.9763,42.94158,2685797.0
2024-12-10,97349.1,98320.6,94265.5,96602.4,291490.75,28129042000.0,97025.33,83748.52,,3441.9321,4195.551,-753.61884,5770.8394,56.397026,60.05756,101335.31,97025.33,92715.34,,56.71245,63.678455,,,,,,,neutral,neutral,,,4231.0293,3198.4587,41.360336,2394306.2
2024-12-11,96602.3,101880.0,95650.0,101115.3,221807.7,21990320000.0,97350.44,84361.5,,3476.3538,4051.7114,-575.35767,5738.261,63.79707,64.82348,101812.74,97350.44,92888.13,,56.516796,59.1857,,,,,,,neutral,neutral,,,4373.813,3259.0896,40.741558,2616114.0
2024-12-12,101115.3,102538.4,99280.2,99982.4,215219.08,21703840000.0,97427.375,84935.586,,3373.332,3916.0356,-542.70355,5625.071,60.998367,62.846867,102011.17,97427.375,92843.57,,62.59956,58.6096,,,,,,,neutral,neutral,,,4294.1265,3259.0718,40.30661,2400894.8
2024-12-13,99982.3,101869.5,99149.6,101371.9,152437.31,15327839000.0,97544.06,85535.85,,3365.0178,3805.832,-440.81424,5569.6426,63.1345,64.250694,102391.25,97544.06,92696.87,,73.616806,64.244385,,,,,,,neutral,neutral,,,4181.6816,3248.2883,39.843422,2553332.2
2024-12-14,101371.9,102638.0,100559.8,101381.0,107680.55,10931716000.0,97718.13,86124.234,,3320.8818,3708.842,-387.9601,5494.858,63.14873,64.25998,102833.99,97718.13,92602.27,,74.23056,70.14898,,,,,,,neutral,neutral,,,4031.433,3224.8867,39.591095,2661012.8
2024-12-15,101381.0,105374.6,101200.1,104460.4,157733.92,16239310000.0,98027.66,86798.625,,3494.108,3665.8953,-171.78735,5557.413,67.69472,67.27995,103895.9,98027.66,92159.414,,82.95897,76.93545,,,,,,,neutral,neutral,,,4041.652,3243.879,39.930195,2818746.8
2024-12-16,104460.5,107777.0,103264.6,106023.2,274395.75,28967203000.0,98644.766,87500.75,,3714.675,3675.6511,39.02391,5661.2505,69.73521,68.68977,105000.625,98644.766,92288.9,,87.159966,81.44984,,,,,,,neutral,neutral,,,4075.2769,3269.2493,40.668404,3093142.5
2024-12-17,106023.2,108366.8,105252.0,106074.6,197773.9,21115020000.0,99313.96,88217.61,,3849.252,3710.3713,138.88065,5724.2954,69.802765,68.73629,105698.664,99313.96,92929.26,,90.460045,86.85966,,,,,,,neutral,neutral,,,4006.6714,3266.1604,41.45115,3290916.2
