open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,Stoch_SlowK,Stoch_SlowD,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ext_1.272,Fib_Trend,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,ATR,ATR_Long,ADX,OBV
2025-07-17 22:30:00,120077.6,120272.5,120077.4,120162.0,940.763,113055060.0,120245.73,119661.88,118881.375,257.9706,319.16562,-61.194992,56.19643,58.30201,121063.41,119825.07,118586.73,120587.58,58.517708,67.10386,120335.94,119955.13,119647.35,119339.57,118901.375,121660.96,uptrend,fib_golden_zone,119955.13,121660.96,500.08752,439.5925,37.558548,6212.677
2025-07-17 22:45:00,120162.1,120336.4,119451.3,119767.8,3249.944,389367100.0,120288.1,119714.81,118903.695,139.03711,259.12277,-120.08567,46.03212,54.22703,121038.72,119893.32,118747.914,120600.65,41.082092,55.125328,118958.76,119339.57,119647.35,119955.13,120393.32,121660.96,neutral,neutral,,,548.2141,460.80713,33.369328,2962.733
2025-07-17 23:00:00,119767.8,119878.4,119569.8,119711.0,1406.856,168466960.0,120240.11,119736.51,118914.195,53.635242,190.62694,-136.9917,44.673805,53.659603,120949.49,119972.47,118995.445,120619.98,29.139149,42.912983,118958.76,119339.57,119647.35,119955.13,120393.32,121660.96,neutral,neutral,,,518.2623,453.55917,29.703762,1555.877
2025-07-17 23:15:00,119711.1,119883.3,119428.4,119608.0,1998.507,239022700.0,120078.6,119755.64,118925.64,-17.338932,121.30498,-138.6439,42.048805,52.611385,120876.516,120022.836,119169.16,120630.57,17.406147,29.20913,118958.76,119339.57,119647.35,119955.13,120393.32,121660.96,neutral,neutral,,,510.34204,453.62305,26.525816,-442.63
2025-07-17 23:30:00,119608.0,119665.6,119250.0,119360.1,1084.68,129573030.0,119921.71,119740.055,118936.58,-104.28899,46.10699,-150.39598,36.09365,50.136322,120855.06,120034.39,119213.72,120623.58,12.894183,19.81316,118958.76,119339.57,119647.35,119955.13,120393.32,117633.74,downtrend,fib_382_reject,119339.57,119647.35,498.49927,451.8124,24.982746,-1527.31
2025-07-17 23:45:00,119360.1,119470.5,119155.0,119176.6,1416.664,168986030.0,119786.94,119716.42,118946.78,-183.96097,-30.58233,-153.37865,32.160275,48.367798,120891.85,120013.375,119134.9,120606.46,7.507294,12.602542,118958.76,119339.57,119647.35,119955.13,120393.32,117633.74,downtrend,neutral,117633.74,119339.57,475.62436,445.32135,24.267862,-2943.974
2025-07-18 00:00:00,119176.5,119370.0,119003.8,119037.6,1206.858,143806640.0,119612.586,119690.48,118955.64,-247.20396,-102.78954,-144.41443,29.335087,47.047817,120926.195,119925.266,118924.34,120580.63,3.830083,8.077187,119144.56,119489.87,119768.95,120048.03,120445.37,117943.09,downtrend,neutral,117943.09,119489.87,461.94632,441.55365,24.623762,-4150.832
2025-07-18 00:15:00,119037.6,119592.1,119037.5,119482.0,1339.373,159849040.0,119538.14,119675.4,118977.54,-186.92358,-130.83423,-56.08936,46.775154,51.491817,120674.89,119807.09,118939.29,120560.664,13.271231,8.202869,119460.33,119745.29,119975.6,120205.914,120533.81,118468.81,downtrend,neutral,118468.81,119745.29,473.52805,446.93683,22.70521,-2811.459
2025-07-18 00:30:00,119481.9,119749.8,119478.0,119731.5,1541.23,184361440.0,119484.33,119679.27,119003.0,-96.05272,-119.24039,23.187672,54.18186,53.77857,120482.266,119733.45,118984.63,120565.72,40.387108,19.162807,119463.46,119747.82,119977.65,120207.48,120534.695,118474.02,downtrend,fib_382_reject,118474.02,119747.82,448.31204,438.597,20.104195,-1270.229
2025-07-18 00:45:00,119731.5,119785.1,119500.0,119735.8,1345.464,161002860.0,119480.33,119691.01,119030.5,-38.73352,-92.40476,53.671246,54.309704,53.817966,120383.945,119690.2,118996.45,120555.414,67.284676,40.31434,119463.46,119747.82,119977.65,120207.48,120534.695,118474.02,downtrend,fib_382_reject,118474.02,119747.82,427.91052,431.2876,18.140873,75.235
