open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,MA144
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11063.629,1146964100.0,238680.0,5443.356,564383360.0,,,,,,,,,,,,,,,,,,,11063.629,,,,,
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10547.557,1091481300.0,248964.0,5274.833,545868300.0,,,,,,,,,,,,,,,,,,,516.072,,,,,
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29627.762,3088243200.0,483855.0,15273.82,1592085400.0,,,,,,,,,,,,,,,,,,,30143.832,,,,,
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091.248,1159020900.0,251612.0,4767.556,498273470.0,,,,,,,,,,,,,,,,,,,41235.082,,,,,
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8321.789,871059140.0,197493.0,3753.188,392842850.0,,,,,,,,,,,,,,,,,,,32913.293,,,,,
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341.262,1494574500.0,304254.0,7393.677,770555600.0,,,,,,,,,,,,,,,,,,,18572.03,,,,,
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9469.678,988693100.0,202506.0,4674.207,488004030.0,,,,,,,,,,,,,,,,,,,9102.352,,,,,
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15555.538,1617475000.0,318122.0,7830.878,814338200.0,,,,,,,,,,,,,,,,,,,-6453.186,,,,,
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16896.822,1763524900.0,345663.0,8306.908,866953660.0,,,,,,,,,,,,,,,,,,,10443.636,,,,,
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033.127,2521074000.0,445618.0,12154.681,1275119500.0,,,,,,,,,,,,,,,,,,,34476.76,,,,,
2025-06-01 20:00:00,105075.2,105823.6,104833.1,105583.3,17123.814,1804393200.0,343786.0,8420.127,887338100.0,,,,,,,,,,,,,,,,,,,51600.574,,,,,
2025-06-02 00:00:00,105583.3,105700.0,104520.0,104781.8,17614.14,1851799800.0,375517.0,8198.17,861902140.0,,,,,,,,,,,,,,,,,,,33986.434,,,,,
2025-06-02 04:00:00,104781.8,105398.5,104549.8,105346.4,15376.453,1614097000.0,303406.0,7701.878,808574900.0,,,,,,,,,,,,,,,,,,,49362.887,,,,,
2025-06-02 08:00:00,105346.4,105900.0,103867.8,104000.0,39491.96,4137952300.0,656632.0,18873.184,1977555800.0,,,,,,,,,,,,,,,,,,,9870.929,,,,,
2025-06-02 12:00:00,104000.1,104646.1,103600.6,104396.8,42551.18,4430377500.0,783618.0,21840.375,2274315500.0,,,,,,,,,55.193043,,,,,,,,,,52422.11,928.6643,,,,
2025-06-02 16:00:00,104396.9,104699.4,103982.9,104366.4,15855.761,1653474300.0,386081.0,7820.324,815556860.0,,,,,,,,,54.92479,,,,,,,,,,36566.348,913.5097,,,,
2025-06-02 20:00:00,104366.5,105893.8,104366.5,105814.3,27363.426,2881073200.0,489549.0,13806.754,1453596900.0,,,,,,,,,63.91942,,,,,,,,,,63929.773,957.359,,,,
2025-06-03 00:00:00,105814.4,106470.8,105280.0,105448.8,29321.06,3106506000.0,547063.0,14330.937,1518296700.0,,,,,,,,,60.63038,,,,,,,,66.07083,53.826546,34608.71,974.0334,,,,
2025-06-03 04:00:00,105448.8,105475.4,105062.5,105134.4,12956.522,1363841900.0,249888.0,6638.888,698856500.0,,,,,,,,,57.87181,,,,,,,,71.36815,65.49048,21652.19,933.9524,,,,
2025-06-03 08:00:00,105134.4,105305.2,104822.4,105240.1,12289.458,1291619200.0,235405.0,6366.031,669099900.0,104665.7,,,,,,,,58.55454,,105905.97,104665.7,103425.44,,,,58.317654,65.25221,33941.65,901.72723,,,,
2025-06-03 12:00:00,105240.1,106775.0,104969.4,106556.1,42236.633,4477072400.0,748259.0,21321.94,2260014600.0,104808.48,,,,,,,,65.95268,,106217.43,104808.48,103399.52,,,,67.88815,65.85799,76178.28,966.28955,,,,
2025-06-03 16:00:00,106556.1,106619.6,105526.2,106171.8,25039.332,2655054800.0,493736.0,12456.712,1320794200.0,104944.02,,,,,,,,62.447124,61.582954,106329.734,104944.02,103558.31,,,,77.07455,67.76012,51138.95,975.3689,,,,
2025-06-03 20:00:00,106179.7,106208.0,105200.4,105330.1,17373.002,1834021600.0,332557.0,8615.631,909501900.0,104985.67,,,,,,,,55.49026,56.87122,106365.21,104985.67,103606.14,,,,76.19498,73.71922,33765.945,977.6711,,,,
2025-06-04 00:00:00,105330.1,105800.0,105072.0,105474.9,15154.628,1598544500.0,313623.0,7874.639,830707700.0,105026.73,,,,,,,,56.39034,57.459152,106413.17,105026.73,103640.28,,,,64.84165,72.70373,48920.574,959.83746,,,,
2025-06-04 04:00:00,105474.8,105566.4,105200.0,105260.2,9967.039,1049952400.0,211200.0,5278.603,556082900.0,105062.5,,,,,,,,54.62643,56.265026,106434.195,105062.5,103690.805,,,,55.269238,65.43529,38953.535,917.4491,,,,
2025-06-04 08:00:00,105260.1,105967.2,105039.1,105044.1,22229.277,2344837600.0,373175.0,11055.743,1166291200.0,105097.88,,,,,,,,52.835,55.0558,106428.734,105097.88,103767.04,,,,52.266045,57.458977,16724.258,918.20984,,,,
2025-06-04 12:00:00,105044.2,105510.2,104111.7,105254.7,44030.27,4617509400.0,762622.0,21710.506,2276998700.0,105149.07,,,,,,,,54.404312,56.022938,106420.016,105149.07,103878.125,,,,49.953796,52.49636,60754.527,952.5163,,,,
2025-06-04 16:00:00,105254.7,105437.8,104824.0,104870.4,14054.096,1477469700.0,302750.0,6711.439,705540000.0,105190.69,,,,,,,,51.065342,53.804565,106364.15,105190.69,104017.234,,,,45.860634,49.36016,46700.434,928.32227,,,25.290798,
2025-06-04 20:00:00,104870.4,105006.3,104350.0,104641.8,13098.813,1371249500.0,264539.0,5990.811,627248060.0,105189.58,,,,,,,,49.133606,52.505974,106365.07,105189.58,104014.086,,,,38.569157,44.79453,33601.62,908.8921,,,23.705318,
2025-06-05 00:00:00,104641.8,105225.6,104594.8,104991.4,11856.411,1243924000.0,248867.0,5880.314,616949700.0,105185.39,,,,,,,,52.11682,54.277973,106363.08,105185.39,104007.7,,,,32.210144,38.87998,45458.03,889.0284,,,22.52402,
2025-06-05 04:00:00,104991.5,105183.0,104321.2,104473.0,15487.56,1621008400.0,279778.0,7304.798,764462140.0,105129.875,,,,,,,,47.653793,51.29803,106331.73,105129.875,103928.02,,,,23.398352,31.392551,29970.47,887.0835,,,21.017925,
