open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA200,MACD_Long,MACD_Long_Signal
2024-10-14,62839.7,66533.0,62420.0,66064.9,338251.6,21963990000.0,4101901.0,178341.25,11578802000.0,,,,,,,,,,,,,,,,,338251.6,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-15,66064.9,67953.7,64771.7,67044.1,422005.5,27957041000.0,5023772.0,212525.53,14081745000.0,,,,,,,,,,,,,,,,,760257.1,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-16,67044.0,68400.0,66724.2,67592.0,254153.5,17177776000.0,3762374.0,129797.414,8774347000.0,,,,,,,,,,,,,,,,,1014410.6,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-17,67592.0,67925.9,66600.0,67401.5,220272.84,14795216000.0,3150922.0,108933.39,7317586000.0,,,,,,,,,,,,,,,,,794137.75,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-18,67401.5,69000.0,67165.0,68407.8,245301.77,16730950000.0,3341893.0,124706.31,8506210000.0,,,,,,,,,,,,,,,,,1039439.56,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-19,68407.8,68684.9,68000.0,68357.1,68632.11,4686326000.0,1101059.0,33351.492,2277467000.0,,,,,,,,,,,,,,,,,970807.44,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-20,68357.1,69425.8,68069.8,69020.1,105939.49,7272050000.0,1491959.0,55143.16,3786176800.0,,,,,,,,,,,,,,,,,1076746.9,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-21,69020.2,69566.0,66865.9,67368.8,253437.33,17221798000.0,3394803.0,122912.48,8352897500.0,,,,,,,,,,,,,,,,,823309.56,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-22,67368.7,67825.0,66536.5,67406.4,218518.98,14691178000.0,3051273.0,106501.52,7161365500.0,,,,,,,,,,,,,,,,,1041828.56,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-23,67406.5,67449.0,65222.3,66647.2,248215.06,16468539000.0,3273578.0,119532.63,7931905500.0,,,,,,,,,,,,,,,,,793613.5,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-24,66647.3,68842.5,66482.0,68173.8,212340.72,14354067000.0,2955244.0,106868.445,7226223600.0,,,,,,,,,,,,,,,,,1005954.25,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-25,68173.8,68748.0,65557.2,66662.8,348511.88,23454024000.0,4106320.0,167089.23,11245951000.0,,,,,,,,,,,,,,,,,657442.4,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-26,66662.7,67450.0,66414.1,67071.8,94169.99,6303068000.0,1522633.0,47331.44,3168536000.0,,,,,,,,,,,,,,,,,751612.4,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-27,67071.9,68306.1,66909.4,67992.6,88468.805,5981933000.0,1363490.0,45814.324,3097899800.0,,,,,,,,,,,,,,,,,840081.2,,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-28,67992.7,70331.0,67584.2,69940.0,256128.62,17649920000.0,3334954.0,135854.89,9364716000.0,,,,,,,65.880905,,,,,,,,,,1096209.8,1928.9714,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-29,69939.9,73660.0,69733.0,72739.5,382502.06,27502270000.0,4796294.0,199025.3,14310964000.0,,,,,,,72.64143,,,,,,,,,,1478711.9,2071.6877,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-30,72739.5,72984.9,71444.2,72349.0,227108.81,16394681000.0,3249471.0,113211.086,8173511000.0,,,,,,,70.54175,,,,,,,,,,1251603.0,2033.76,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-10-31,72349.0,72720.3,69705.0,70321.9,256485.33,18260860000.0,3578458.0,122732.5,8739091000.0,,,,,,,60.728714,,,,,,,,77.99716,84.50565,995117.7,2103.87,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-01,70321.9,71650.0,68822.5,69495.5,352591.1,24669698000.0,4618190.0,170405.19,11925043000.0,,,,,,,57.23325,,,,,,,,65.18166,77.33961,642526.6,2155.5579,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-02,69495.4,69913.1,69022.8,69366.6,79314.1,5511280000.0,1401664.0,38567.43,2680264400.0,,,,,,,56.68519,,,,,,,,53.399624,65.52615,563212.5,2065.1824,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-03,69366.6,69393.7,67446.6,68762.5,226477.38,15481140000.0,3241078.0,110474.57,7552569300.0,68485.04,,,,,,54.071873,,71923.055,68485.04,65047.03,,,,47.239178,55.273487,336735.12,2056.7478,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-04,68762.5,69495.3,66810.0,67834.3,244912.17,16709405000.0,3684843.0,120605.016,8229318000.0,68569.3,,,,,,50.23936,54.44457,71849.016,68569.3,65289.582,,,,40.676567,47.10512,91822.97,2101.6445,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-05,67834.4,70537.4,67454.2,69353.1,273070.88,18923323000.0,3919866.0,137002.02,9493700000.0,68679.25,,,,,,55.764317,57.823605,71901.38,68679.25,65457.12,,,,40.623234,42.846325,364893.84,2171.7556,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-06,69353.1,76420.0,69272.7,75579.9,677440.3,50043232000.0,9334179.0,345735.56,25535530000.0,69059.625,,,,,,70.31602,68.031364,73378.016,69059.625,64741.24,,,,57.393013,46.230938,1042334.1,2527.1516,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-07,75579.9,76900.0,74450.0,75859.4,280675.03,21221667000.0,4431074.0,139928.4,10582872000.0,69462.38,,,,,,70.780655,68.391914,74589.08,69462.38,64335.695,,,,77.34955,58.455265,1323009.1,2521.6409,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-08,75859.4,77182.9,75576.3,76482.2,230370.33,17566204000.0,3534735.0,114282.625,8715326000.0,69846.88,,,,,,71.83845,69.20453,75751.625,69846.88,63942.137,,,,92.19514,75.6459,1553379.5,2456.2808,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-09,76482.2,76920.0,75683.2,76675.1,117754.03,8994277000.0,1816643.0,59583.94,4551928300.0,70242.98,,,,,,72.174446,69.45987,76777.234,70242.98,63708.715,,,,93.14123,87.56197,1671133.5,2369.175,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-10,76675.1,81699.8,76501.1,80410.0,417426.9,33139798000.0,5763782.0,215382.12,17097265000.0,70785.35,,,,,,77.71781,73.86537,78590.75,70785.35,62979.953,,,,93.31183,92.88273,2088560.4,2571.284,,,32.84261,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-11,80409.9,89800.0,80261.2,88728.9,614141.7,51921310000.0,8091453.0,316223.7,26747722000.0,71802.5,,,,,,84.92267,80.45812,82567.734,71802.5,61037.266,,,,93.92776,93.46027,2702702.0,3068.9636,,,35.555195,,,,,,,,,,neutral,,,neutral,,,,,,
2024-11-12,88729.0,90070.1,85159.9,87972.0,639481.56,56145244000.0,9027355.0,314356.6,27607000000.0,72781.81,,,,,,82.314705,78.564735,85358.516,72781.81,60205.11,,,,92.55285,93.264145,2063220.5,3200.4805,,,38.09752,,,,,,,,,,neutral,,,neutral,,,,,,
